NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;TP_DEPENDENCIA;NO_ENTIDADE;CO_ENTIDADE;NO_AREA_CURSO_PROFISSIONAL;ID_AREA_CURSO_PROFISSIONAL;NO_CURSO_EDUC_PROFISSIONAL;CO_CURSO_EDUC_PROFISSIONAL;QT_CURSO_TEC;QT_MAT_CURSO_TEC;QT_CURSO_TEC_CT;QT_MAT_CURSO_TEC_CT;QT_CURSO_TEC_NM;QT_MAT_CURSO_TEC_NM;QT_CURSO_TEC_CONC;QT_MAT_CURSO_TEC_CONC;QT_CURSO_TEC_SUBS;QT_MAT_TEC_SUBS;QT_CURSO_TEC_EJA;QT_MAT_TEC_EJA
2024;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;1;0;2;HUMBERTO DE ALENCAR CASTELLO BRANCO MARECHAL;35011423;Gestão e negócios;4;Administração;4050;1;31;1;31;0;0;0;0;0;0;0;0
2024;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;1;0;2;HUMBERTO DE ALENCAR CASTELLO BRANCO MARECHAL;35011423;Gestão e negócios;4;Logística;4056;1;30;1;30;0;0;0;0;0;0;0;0
2024;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;1;0;2;HUMBERTO DE ALENCAR CASTELLO BRANCO MARECHAL;35011423;Gestão e negócios;4;Vendas;4065;1;20;1;20;0;0;0;0;0;0;0;0
2024;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;1;0;2;HUMBERTO DE ALENCAR CASTELLO BRANCO MARECHAL;35011423;Informação e comunicação;6;Desenvolvimento de Sistemas;6082;1;8;1;8;0;0;0;0;0;0;0;0
2024;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;1;0;2;AFONSO SCHIMIDT;35011435;Informação e comunicação;6;Desenvolvimento de Sistemas;6082;1;29;1;29;0;0;0;0;0;0;0;0
2024;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;1;0;2;ZENON CLEANTES DE MOURA PROFESSOR;35011642;Gestão e negócios;4;Logística;4056;1;9;1;9;0;0;0;0;0;0;0;0
2024;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;1;0;2;JOSE DA COSTA PROFESSOR;35011685;Gestão e negócios;4;Administração;4050;1;57;1;57;0;0;0;0;0;0;0;0
2024;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;1;0;2;JOSE DA COSTA PROFESSOR;35011685;Gestão e negócios;4;Logística;4056;1;62;1;62;0;0;0;0;0;0;0;0
2024;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;1;0;2;JOSE DA COSTA PROFESSOR;35011685;Gestão e negócios;4;Vendas;4065;1;75;1;75;0;0;0;0;0;0;0;0
2024;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;1;0;4;HESSEL HORACIO CHERKASSKY ESCOLA SENAI;35148052;Controle e processos industriais;3;Eletroeletrônica;3037;1;70;0;0;0;0;1;11;1;59;0;0
