NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_REGIAO_GEOG_INTERM;CO_REGIAO_GEOG_INTERM;NO_REGIAO_GEOG_IMED;CO_REGIAO_GEOG_IMED;NO_DISTRITO;CO_DISTRITO;NO_SUBDISTRITO;CO_SUBDISTRITO;NO_ENTIDADE;CO_ENTIDADE;CO_REDE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_PODER_PUBLICO_PARCERIA;TP_PODER_PUBLICO_PARCERIA;NO_AREA_CURSO_PROFISSIONAL;ID_AREA_CURSO_PROFISSIONAL;NO_CURSO_EDUC_PROFISSIONAL;CO_CURSO_EDUC_PROFISSIONAL;QT_CURSO_TEC;QT_MAT_CURSO_TEC;QT_CURSO_TEC_IFTP;QT_MAT_CURSO_TEC_IFTP;QT_CURSO_TEC_IFTP_MT;QT_MAT_CURSO_TEC_IFTP_MT;QT_CURSO_TEC_IFTP_OTME;QT_MAT_CURSO_TEC_IFTP_OTME;QT_CURSO_TEC_IFTP_OE;QT_MAT_CURSO_TEC_IFTP_OE;QT_CURSO_TEC_NM;QT_MAT_CURSO_TEC_NM;QT_CURSO_TEC_CONC;QT_MAT_CURSO_TEC_CONC;QT_CURSO_TEC_SUBS;QT_MAT_CURSO_TEC_SUBS;QT_CURSO_TEC_IFTP_CT;QT_MAT_CURSO_TEC_IFTP_CT;QT_CURSO_TEC_EJA;QT_MAT_CURSO_TEC_EJA
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;HUMBERTO DE ALENCAR CASTELLO BRANCO MARECHAL;35011423;1;2;;1;0;0;;Controle e processos industriais;3000;Eletroeletrônica;3037;1;15;1;15;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;HUMBERTO DE ALENCAR CASTELLO BRANCO MARECHAL;35011423;1;2;;1;0;0;;Gestão e negócios;4000;Administração;4050;1;50;1;50;1;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;HUMBERTO DE ALENCAR CASTELLO BRANCO MARECHAL;35011423;1;2;;1;0;0;;Gestão e negócios;4000;Logística;4056;1;64;1;64;1;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;HUMBERTO DE ALENCAR CASTELLO BRANCO MARECHAL;35011423;1;2;;1;0;0;;Gestão e negócios;4000;Vendas;4065;1;29;1;29;1;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;HUMBERTO DE ALENCAR CASTELLO BRANCO MARECHAL;35011423;1;2;;1;0;0;;Informação e comunicação;6000;Desenvolvimento de Sistemas;6082;1;23;1;23;1;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;AFONSO SCHIMIDT;35011435;1;2;;1;0;0;;Controle e processos industriais;3000;Manutenção de Máquinas Industriais;3060;1;68;1;68;1;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;AFONSO SCHIMIDT;35011435;1;2;;1;0;0;;Informação e comunicação;6000;Desenvolvimento de Sistemas;6082;1;13;1;13;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;ZENON CLEANTES DE MOURA PROFESSOR;35011642;1;2;;1;0;0;;Controle e processos industriais;3000;Manutenção de Máquinas Industriais;3060;1;48;1;48;1;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;JOSE DA COSTA PROFESSOR;35011685;1;2;;1;0;0;;Ambiente e saúde;1000;Farmácia;1009;1;43;1;43;1;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;JOSE DA COSTA PROFESSOR;35011685;1;2;;1;0;0;;Gestão e negócios;4000;Administração;4050;1;62;1;62;1;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;JOSE DA COSTA PROFESSOR;35011685;1;2;;1;0;0;;Gestão e negócios;4000;Logística;4056;1;62;1;62;1;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;JOSE DA COSTA PROFESSOR;35011685;1;2;;1;0;0;;Gestão e negócios;4000;Vendas;4065;1;54;1;54;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;JOSE DA COSTA PROFESSOR;35011685;1;2;;1;0;0;;Informação e comunicação;6000;Desenvolvimento de Sistemas;6082;1;35;1;35;1;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;HESSEL HORACIO CHERKASSKY ESCOLA SENAI;35148052;2;4;1;1;0;0;;Controle e processos industriais;3000;Eletroeletrônica;3037;1;132;0;0;0;0;0;0;0;0;0;0;1;65;1;61;1;6;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;HESSEL HORACIO CHERKASSKY ESCOLA SENAI;35148052;2;4;1;1;0;0;;Controle e processos industriais;3000;Eletromecânica;3038;1;63;0;0;0;0;0;0;0;0;0;0;1;63;0;0;0;0;0;0
