NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_REGIAO_GEOG_INTERM;CO_REGIAO_GEOG_INTERM;NO_REGIAO_GEOG_IMED;CO_REGIAO_GEOG_IMED;NO_DISTRITO;CO_DISTRITO;NO_SUBDISTRITO;CO_SUBDISTRITO;NO_ENTIDADE;CO_ENTIDADE;CO_REDE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_PODER_PUBLICO_PARCERIA;TP_PODER_PUBLICO_PARCERIA;QT_DOC_BAS;QT_DOC_INF;QT_DOC_INF_CRE;QT_DOC_INF_PRE;QT_DOC_FUND;QT_DOC_FUND_AI;QT_DOC_FUND_AI_1;QT_DOC_FUND_AI_2;QT_DOC_FUND_AI_3;QT_DOC_FUND_AI_4;QT_DOC_FUND_AI_5;QT_DOC_FUND_AI_MULTIETAPA;QT_DOC_FUND_AF;QT_DOC_FUND_AF_6;QT_DOC_FUND_AF_7;QT_DOC_FUND_AF_8;QT_DOC_FUND_AF_9;QT_DOC_FUND_AF_MULTI;QT_DOC_FUND_AF_CORRFLUXO;QT_DOC_MED;QT_DOC_MED_1;QT_DOC_MED_2;QT_DOC_MED_3;QT_DOC_MED_4;QT_DOC_MED_NS;QT_DOC_MED_PROP;QT_DOC_MED_PROP_1;QT_DOC_MED_PROP_2;QT_DOC_MED_PROP_3;QT_DOC_MED_PROP_4;QT_DOC_MED_PROP_NS;QT_DOC_MED_IFTP_CT;QT_DOC_MED_IFTP_CT_1;QT_DOC_MED_IFTP_CT_2;QT_DOC_MED_IFTP_CT_3;QT_DOC_MED_IFTP_CT_4;QT_DOC_MED_IFTP_CT_NS;QT_DOC_MED_IFTP_QP;QT_DOC_MED_IFTP_QP_1;QT_DOC_MED_IFTP_QP_2;QT_DOC_MED_IFTP_QP_3;QT_DOC_MED_IFTP_QP_4;QT_DOC_MED_IFTP_QP_NS;QT_DOC_MED_NM;QT_DOC_MED_NM_1;QT_DOC_MED_NM_2;QT_DOC_MED_NM_3;QT_DOC_MED_NM_4;QT_DOC_PROF;QT_DOC_PROF_TEC;QT_DOC_PROF_TEC_CONC;QT_DOC_PROF_TEC_SUBS;QT_DOC_PROF_TEC_MISTO;QT_DOC_PROF_TEC_IFTP_CT;QT_DOC_PROF_NAO_TEC;QT_DOC_PROF_IFTP_QP;QT_DOC_PROF_FIC_CONC;QT_DOC_EJA;QT_DOC_EJA_FUND;QT_DOC_EJA_FUND_NPROF;QT_DOC_EJA_FUND_AI;QT_DOC_EJA_FUND_AF;QT_DOC_EJA_FUND_FIC;QT_DOC_EJA_MED;QT_DOC_EJA_MED_NPROF;QT_DOC_EJA_MED_FIC;QT_DOC_EJA_MED_TEC;QT_DOC_ESP;QT_DOC_ESP_CC;QT_DOC_ESP_CE;QT_DOC_BAS_FEM;QT_DOC_BAS_MASC;QT_DOC_BAS_ND;QT_DOC_BAS_BRANCA;QT_DOC_BAS_PRETA;QT_DOC_BAS_PARDA;QT_DOC_BAS_AMARELA;QT_DOC_BAS_INDIGENA;QT_DOC_BAS_0_24;QT_DOC_BAS_25_29;QT_DOC_BAS_30_39;QT_DOC_BAS_40_49;QT_DOC_BAS_50_54;QT_DOC_BAS_55_59;QT_DOC_BAS_60_MAIS;QT_DOC_BAS_PCD;QT_DOC_BAS_ZR_URB;QT_DOC_BAS_ZR_RUR;QT_DOC_BAS_ZR_NA;QT_DOC_BAS_ESCO_EF;QT_DOC_BAS_ESCO_EM;QT_DOC_BAS_ESCO_SUP_GRAD;QT_DOC_BAS_ESCO_SUP_GRAD_LICEN;QT_DOC_BAS_ESCO_SUP_GRAD_SLICEN;QT_DOC_BAS_ESCO_SUP_POS_ESPEC;QT_DOC_BAS_ESCO_SUP_POS_MESTRA;QT_DOC_BAS_ESCO_SUP_POS_DOUTO;QT_DOC_BAS_ESCO_SUP_POS_NENHUM;QT_DOC_BAS_VINCULO_CONCUR;QT_DOC_BAS_VINCULO_CONTRA;QT_DOC_BAS_VINCULO_TERCEIR;QT_DOC_BAS_VINCULO_CLT;QT_DOC_BAS_DOCENTE;QT_DOC_BAS_AUXILIAR;QT_DOC_BAS_PROFI_MONITOR;QT_DOC_BAS_TRADUTOR_LIBRAS;QT_DOC_BAS_TITULAR_EAD;QT_DOC_BAS_TUTOR_AUX_EAD;QT_DOC_BAS_GUIA_INTERPRETE;QT_DOC_BAS_APOIO_PCD;QT_DOC_BAS_INSTRUTOR_EP;QT_DOC_BAS_ESPEC_CRE;QT_DOC_BAS_ESPEC_PRE_ESCOLA;QT_DOC_BAS_ESPEC_ANOS_INICIAIS;QT_DOC_BAS_ESPEC_ANOS_FINAIS;QT_DOC_BAS_ESPEC_ENS_MEDIO;QT_DOC_BAS_ESPEC_EJA;QT_DOC_BAS_ESPEC_ED_ESPECIAL;QT_DOC_BAS_ESPEC_BIL_SURDOS;QT_DOC_BAS_ESPEC_ED_INDIGENA;QT_DOC_BAS_ESPEC_CAMPO;QT_DOC_BAS_ESPEC_AMBIENTAL;QT_DOC_BAS_ESPEC_DIR_HUMANOS;QT_DOC_BAS_ESPEC_DIV_SEXUAL;QT_DOC_BAS_ESPEC_DIR_ADOLESC;QT_DOC_BAS_ESPEC_AFRO;QT_DOC_BAS_ESPEC_GESTAO;QT_DOC_BAS_ESPEC_EDUC_TIC;QT_DOC_BAS_ESPEC_OUTROS;QT_DOC_BAS_ESPEC_NENHUM;QT_DOC_BAS_DISC_LINGUA_PORT;QT_DOC_BAS_DISC_EDUC_FISICA;QT_DOC_BAS_DISC_ARTES;QT_DOC_BAS_DISC_LINGUA_ING;QT_DOC_BAS_DISC_LINGUA_ESPA;QT_DOC_BAS_DISC_LINGUA_FRANC;QT_DOC_BAS_DISC_LINGUA_OUTRA;QT_DOC_BAS_DISC_LIBRAS;QT_DOC_BAS_DISC_LINGUA_INDIG;QT_DOC_BAS_DISC_PORT_SEG_LINGUA;QT_DOC_BAS_DISC_MATEMATICA;QT_DOC_BAS_DISC_CIENCIAS;QT_DOC_BAS_DISC_FISICA;QT_DOC_BAS_DISC_QUIMICA;QT_DOC_BAS_DISC_BIOLOGIA;QT_DOC_BAS_DISC_HISTORIA;QT_DOC_BAS_DISC_GEOGRAFIA;QT_DOC_BAS_DISC_SOCIOLOGIA;QT_DOC_BAS_DISC_FILOSOFIA;QT_DOC_BAS_DISC_EST_SOCIAIS;QT_DOC_BAS_DISC_EST_SOCIAIS_SOCI;QT_DOC_BAS_DISC_INFO_COMPUTACAO;QT_DOC_BAS_DISC_ENSINO_RELIGIOSO;QT_DOC_BAS_DISC_PROFISSIONA;QT_DOC_BAS_DISC_ESTAGIO_SUPER;QT_DOC_BAS_DISC_PEDAGOGICAS;QT_DOC_BAS_DISC_PROJETO_DE_VIDA;QT_DOC_BAS_DISC_OUTRAS;QT_DOC_BAS_LIBRAS
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;CENTRO EDUCACIONAL OBJETIVO CUBATAO;35005363;2;4;1;1;0;0;;19;0;0;0;17;8;4;4;4;5;5;0;11;10;11;11;11;0;0;13;13;12;13;0;0;13;13;12;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;0;11;8;1;9;3;6;0;0;0;4;5;5;2;3;0;0;2;0;17;0;2;17;17;0;4;0;0;13;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;17;6;1;5;1;0;0;0;0;0;0;6;5;1;1;1;5;5;1;1;0;1;0;0;0;0;0;0;9;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;V N COSTA NUCLEO DE EDUCACAO INFANTIL;35005609;2;4;1;1;0;1;1;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;4;0;0;1;2;1;0;0;0;1;3;0;0;0;0;0;0;0;4;0;0;4;4;0;0;0;0;4;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;COLEGIO CRERSER EDUCACAO INFANTIL;35006532;2;4;3;1;0;0;;5;4;3;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5;0;0;3;1;1;0;0;0;1;3;1;0;0;0;0;0;0;5;0;0;5;5;0;0;0;0;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;CRER SER CHRISTIAN BILINGUAL SCHOOL LTDA;35007846;2;4;1;1;0;0;;13;0;0;0;13;8;4;4;3;4;3;0;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;10;3;2;4;2;5;0;0;0;2;4;4;2;1;0;0;1;0;12;0;0;13;13;0;1;0;0;12;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;7;1;7;1;0;0;0;0;0;0;7;7;0;0;0;7;7;0;0;0;0;0;7;0;0;0;0;7;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;MARTA JOSETE RAMOS IMPALEA PROFA CEU UNIDADE III;35010151;1;3;;1;0;0;;25;0;0;0;25;25;11;12;6;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;22;0;20;5;1;17;2;5;0;0;1;2;6;11;3;2;0;0;25;0;0;0;0;25;25;0;11;1;1;13;25;0;0;0;25;4;0;0;0;0;0;0;0;1;3;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;2;19;8;4;2;1;0;0;0;0;0;0;8;8;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;18;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;COMPLEXO EDUCACIONAL GERALDO CARDOSO GUEDES EDUCACAO INFANTIL;35010727;1;3;;1;0;0;;32;32;21;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;0;32;0;2;18;4;8;0;0;1;1;8;16;4;1;1;0;32;0;0;0;0;32;32;0;15;0;0;17;32;0;0;0;32;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;COMPLEXO EDUCACIONAL GERALDO CARDOSO GUEDES ENSINO FUNDAMENTAL;35010730;1;3;;1;0;0;;28;0;0;0;28;28;18;8;7;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;28;0;21;7;1;15;1;11;0;0;0;2;9;10;4;1;2;0;28;0;0;0;2;26;26;0;12;1;1;13;28;0;0;0;28;0;0;0;0;0;0;0;0;0;2;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;2;25;21;5;2;1;0;0;0;0;0;0;21;21;0;0;0;21;21;0;0;0;0;0;0;0;0;0;0;21;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;HUMBERTO DE ALENCAR CASTELLO BRANCO MARECHAL;35011423;1;2;;1;0;0;;53;0;0;0;29;0;0;0;0;0;0;0;29;12;14;16;15;0;0;39;26;30;23;0;0;35;26;23;23;0;0;22;0;19;5;0;0;0;0;0;0;0;0;0;0;0;0;0;22;22;0;0;0;0;0;0;0;14;0;0;0;0;0;14;14;0;0;53;53;0;29;24;0;42;2;9;0;0;2;3;9;14;9;10;6;0;9;0;44;0;2;51;51;0;19;1;0;31;25;28;0;0;53;0;0;1;0;0;0;1;0;0;0;0;1;2;0;0;0;0;3;1;0;0;0;0;0;0;6;43;11;3;2;5;0;0;0;0;0;0;9;4;3;6;3;10;5;3;3;0;3;3;0;0;0;0;0;25;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;AFONSO SCHIMIDT;35011435;1;2;;1;0;0;;18;0;0;0;14;0;0;0;0;0;0;0;14;0;13;13;13;0;0;17;16;15;14;0;0;17;16;15;11;0;0;14;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18;11;8;10;0;10;3;5;0;0;2;0;6;3;4;3;0;0;1;0;17;0;1;17;17;0;3;0;0;14;9;9;0;0;18;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;3;0;1;1;0;0;0;0;0;0;5;1;2;1;1;3;1;1;1;0;1;1;0;0;0;0;0;18;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;JULIO CONCEICAO;35011629;1;2;;1;0;0;;13;0;0;0;13;0;0;0;0;0;0;0;13;13;13;13;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;0;10;3;0;9;1;3;0;0;0;1;2;4;2;3;1;0;0;0;13;0;0;13;13;0;10;0;0;3;10;3;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;0;1;1;0;0;0;0;0;0;2;1;0;0;0;2;1;0;0;0;0;2;0;0;0;0;0;12;0
