NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_REGIAO_GEOG_INTERM;CO_REGIAO_GEOG_INTERM;NO_REGIAO_GEOG_IMED;CO_REGIAO_GEOG_IMED;NO_DISTRITO;CO_DISTRITO;NO_SUBDISTRITO;CO_SUBDISTRITO;NO_ENTIDADE;CO_ENTIDADE;CO_REDE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_PODER_PUBLICO_PARCERIA;TP_PODER_PUBLICO_PARCERIA;QT_GEST_BAS;QT_GEST_BAS_FEM;QT_GEST_BAS_MASC;QT_GEST_BAS_ND;QT_GEST_BAS_BRANCA;QT_GEST_BAS_PRETA;QT_GEST_BAS_PARDA;QT_GEST_BAS_AMARELA;QT_GEST_BAS_INDIGENA;QT_GEST_BAS_NACIO_BRASILEIRA;QT_GEST_BAS_NACIO_ESTRANG;QT_GEST_BAS_0_24;QT_GEST_BAS_25_29;QT_GEST_BAS_30_39;QT_GEST_BAS_40_49;QT_GEST_BAS_50_54;QT_GEST_BAS_55_59;QT_GEST_BAS_60_MAIS;QT_GEST_BAS_PCD;QT_GEST_BAS_ZR_URB;QT_GEST_BAS_ZR_RUR;QT_GEST_BAS_ZR_NA;QT_GEST_BAS_ESCO_EF;QT_GEST_BAS_ESCO_EM;QT_GEST_BAS_ESCO_SUP_GRAD;QT_GEST_BAS_ESCO_SUP_GRAD_LICEN;QT_GEST_BAS_ESCO_SUP_GRAD_SLICEN;QT_GEST_BAS_ESCO_SUP_POS_ESPEC;QT_GEST_BAS_ESCO_SUP_POS_MESTRA;QT_GEST_BAS_ESCO_SUP_POS_DOUTO;QT_GEST_BAS_ESCO_SUP_POS_NENHUM;QT_GEST_BAS_VINCULO_CONCUR;QT_GEST_BAS_VINCULO_CONTRA;QT_GEST_BAS_VINCULO_TERCEIR;QT_GEST_BAS_VINCULO_CLT;QT_GEST_BAS_DIRETOR;QT_GEST_BAS_OUTRO;QT_GEST_BAS_ACESSO_CARGO_PROP;QT_GEST_BAS_ACESSO_CARGO_INDIC;QT_GEST_BAS_ACESSO_CARGO_SEL;QT_GEST_BAS_ACESSO_CARGO_CONC;QT_GEST_BAS_ACESSO_CARGO_ELEIC;QT_GEST_BAS_ACESSO_CARGO_P_SEL;QT_GEST_BAS_ACESSO_CARGO_OUTRO;QT_GEST_BAS_ESPEC_CRE;QT_GEST_BAS_ESPEC_PRE_ESCOLA;QT_GEST_BAS_ESPEC_ANOS_INICIAIS;QT_GEST_BAS_ESPEC_ANOS_FINAIS;QT_GEST_BAS_ESPEC_ENS_MEDIO;QT_GEST_BAS_ESPEC_EJA;QT_GEST_BAS_ESPEC_ED_ESPECIAL;QT_GEST_BAS_ESPEC_BIL_SURDOS;QT_GEST_BAS_ESPEC_ED_INDIGENA;QT_GEST_BAS_ESPEC_CAMPO;QT_GEST_BAS_ESPEC_AMBIENTAL;QT_GEST_BAS_ESPEC_DIR_HUMANOS;QT_GEST_BAS_ESPEC_DIV_SEXUAL;QT_GEST_BAS_ESPEC_DIR_ADOLESC;QT_GEST_BAS_ESPEC_AFRO;QT_GEST_BAS_ESPEC_GESTAO;QT_GEST_BAS_ESPEC_EDUC_TIC;QT_GEST_BAS_ESPEC_OUTROS;QT_GEST_BAS_ESPEC_NENHUM
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;CENTRO EDUCACIONAL OBJETIVO CUBATAO;35005363;2;4;1;1;0;0;;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;V N COSTA NUCLEO DE EDUCACAO INFANTIL;35005609;2;4;1;1;0;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;COLEGIO CRERSER EDUCACAO INFANTIL;35006532;2;4;3;1;0;0;;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;CRER SER CHRISTIAN BILINGUAL SCHOOL LTDA;35007846;2;4;1;1;0;0;;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;MARTA JOSETE RAMOS IMPALEA PROFA CEU UNIDADE III;35010151;1;3;;1;0;0;;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;COMPLEXO EDUCACIONAL GERALDO CARDOSO GUEDES EDUCACAO INFANTIL;35010727;1;3;;1;0;0;;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;COMPLEXO EDUCACIONAL GERALDO CARDOSO GUEDES ENSINO FUNDAMENTAL;35010730;1;3;;1;0;0;;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;HUMBERTO DE ALENCAR CASTELLO BRANCO MARECHAL;35011423;1;2;;1;0;0;;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;AFONSO SCHIMIDT;35011435;1;2;;1;0;0;;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;JULIO CONCEICAO;35011629;1;2;;1;0;0;;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
