NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_REGIAO_GEOG_INTERM;CO_REGIAO_GEOG_INTERM;NO_REGIAO_GEOG_IMED;CO_REGIAO_GEOG_IMED;NO_DISTRITO;CO_DISTRITO;NO_SUBDISTRITO;CO_SUBDISTRITO;NO_ENTIDADE;CO_ENTIDADE;CO_REDE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_PODER_PUBLICO_PARCERIA;TP_PODER_PUBLICO_PARCERIA;QT_MAT_BAS;QT_MAT_INF;QT_MAT_INF_CRE;QT_MAT_INF_PRE;QT_MAT_FUND;QT_MAT_FUND_AI;QT_MAT_FUND_AI_1;QT_MAT_FUND_AI_2;QT_MAT_FUND_AI_3;QT_MAT_FUND_AI_4;QT_MAT_FUND_AI_5;QT_MAT_FUND_AF;QT_MAT_FUND_AF_6;QT_MAT_FUND_AF_7;QT_MAT_FUND_AF_8;QT_MAT_FUND_AF_9;QT_MAT_MED;QT_MAT_MED_1;QT_MAT_MED_2;QT_MAT_MED_3;QT_MAT_MED_4;QT_MAT_MED_NS;QT_MAT_MED_PROP;QT_MAT_MED_PROP_1;QT_MAT_MED_PROP_2;QT_MAT_MED_PROP_3;QT_MAT_MED_PROP_4;QT_MAT_MED_PROP_NS;QT_MAT_MED_IFTP_CT;QT_MAT_MED_IFTP_CT_MT;QT_MAT_MED_IFTP_CT_OTME;QT_MAT_MED_IFTP_CT_OE;QT_MAT_MED_IFTP_CT_1;QT_MAT_MED_IFTP_CT_2;QT_MAT_MED_IFTP_CT_3;QT_MAT_MED_IFTP_CT_4;QT_MAT_MED_IFTP_CT_NS;QT_MAT_MED_IFTP_QP;QT_MAT_MED_IFTP_QP_MT;QT_MAT_MED_IFTP_QP_OTME;QT_MAT_MED_IFTP_QP_OE;QT_MAT_MED_IFTP_QP_1;QT_MAT_MED_IFTP_QP_2;QT_MAT_MED_IFTP_QP_3;QT_MAT_MED_IFTP_QP_4;QT_MAT_MED_IFTP_QP_NS;QT_MAT_MED_NM;QT_MAT_MED_NM_1;QT_MAT_MED_NM_2;QT_MAT_MED_NM_3;QT_MAT_MED_NM_4;QT_MAT_MED_IFA;QT_MAT_MED_IFA_LING;QT_MAT_MED_IFA_LING_MT;QT_MAT_MED_IFA_LING_OTME;QT_MAT_MED_IFA_LING_OE;QT_MAT_MED_IFA_MATE;QT_MAT_MED_IFA_MATE_MT;QT_MAT_MED_IFA_MATE_OTME;QT_MAT_MED_IFA_MATE_OE;QT_MAT_MED_IFA_CIENC;QT_MAT_MED_IFA_CIENC_MT;QT_MAT_MED_IFA_CIENC_OTME;QT_MAT_MED_IFA_CIENC_OE;QT_MAT_MED_IFA_HUMA;QT_MAT_MED_IFA_HUMA_MT;QT_MAT_MED_IFA_HUMA_OTME;QT_MAT_MED_IFA_HUMA_OE;QT_MAT_PROF;QT_MAT_PROF_TEC;QT_MAT_PROF_TEC_CONC;QT_MAT_PROF_TEC_SUBS;QT_MAT_PROF_TEC_IFTP_CT;QT_MAT_PROF_NAO_TEC;QT_MAT_PROF_IFTP_QP;QT_MAT_PROF_FIC_CONC;QT_MAT_EJA;QT_MAT_EJA_FUND;QT_MAT_EJA_FUND_NPROF;QT_MAT_EJA_FUND_AI;QT_MAT_EJA_FUND_AF;QT_MAT_EJA_FUND_FIC;QT_MAT_EJA_MED;QT_MAT_EJA_MED_NPROF;QT_MAT_EJA_MED_FIC;QT_MAT_EJA_MED_TEC;QT_MAT_ESP;QT_MAT_ESP_INF;QT_MAT_ESP_INF_CRE;QT_MAT_ESP_INF_PRE;QT_MAT_ESP_FUND;QT_MAT_ESP_FUND_AI;QT_MAT_ESP_FUND_AF;QT_MAT_ESP_MED;QT_MAT_ESP_PROF;QT_MAT_ESP_PROF_TEC;QT_MAT_ESP_EJA;QT_MAT_ESP_EJA_FUND;QT_MAT_ESP_EJA_MED;QT_MAT_ESP_CC;QT_MAT_ESP_CC_INF;QT_MAT_ESP_CC_INF_CRE;QT_MAT_ESP_CC_INF_PRE;QT_MAT_ESP_CC_FUND;QT_MAT_ESP_CC_FUND_AI;QT_MAT_ESP_CC_FUND_AF;QT_MAT_ESP_CC_MED;QT_MAT_ESP_CC_PROF;QT_MAT_ESP_CC_PROF_TEC;QT_MAT_ESP_CC_EJA;QT_MAT_ESP_CC_EJA_FUND;QT_MAT_ESP_CC_EJA_MED;QT_MAT_ESP_CE;QT_MAT_ESP_CE_INF;QT_MAT_ESP_CE_INF_CRE;QT_MAT_ESP_CE_INF_PRE;QT_MAT_ESP_CE_FUND;QT_MAT_ESP_CE_FUND_AI;QT_MAT_ESP_CE_FUND_AF;QT_MAT_ESP_CE_MED;QT_MAT_ESP_CE_PROF;QT_MAT_ESP_CE_PROF_TEC;QT_MAT_ESP_CE_EJA;QT_MAT_ESP_CE_EJA_FUND;QT_MAT_ESP_CE_EJA_MED;QT_MAT_BAS_FEM;QT_MAT_BAS_MASC;QT_MAT_BAS_ND;QT_MAT_BAS_BRANCA;QT_MAT_BAS_PRETA;QT_MAT_BAS_PARDA;QT_MAT_BAS_AMARELA;QT_MAT_BAS_INDIGENA;QT_MAT_BAS_0_3;QT_MAT_BAS_4_5;QT_MAT_BAS_6_10;QT_MAT_BAS_11_14;QT_MAT_BAS_15_17;QT_MAT_BAS_18_MAIS;QT_MAT_BAS_0_3_REF_31_03;QT_MAT_BAS_4_5_REF_31_03;QT_MAT_BAS_6_10_REF_31_03;QT_MAT_BAS_11_14_REF_31_03;QT_MAT_BAS_15_17_REF_31_03;QT_MAT_BAS_18_MAIS_REF_31_03;QT_MAT_BAS_D;QT_MAT_BAS_DM;QT_MAT_BAS_DV;QT_MAT_BAS_N;QT_MAT_BAS_EAD;QT_MAT_INF_CRE_D;QT_MAT_INF_CRE_DM;QT_MAT_INF_CRE_DV;QT_MAT_INF_CRE_N;QT_MAT_INF_PRE_D;QT_MAT_INF_PRE_DM;QT_MAT_INF_PRE_DV;QT_MAT_INF_PRE_N;QT_MAT_FUND_D;QT_MAT_FUND_DM;QT_MAT_FUND_DV;QT_MAT_FUND_N;QT_MAT_FUND_AI_D;QT_MAT_FUND_AI_DM;QT_MAT_FUND_AI_DV;QT_MAT_FUND_AI_N;QT_MAT_FUND_AF_D;QT_MAT_FUND_AF_DM;QT_MAT_FUND_AF_DV;QT_MAT_FUND_AF_N;QT_MAT_MED_D;QT_MAT_MED_DM;QT_MAT_MED_DV;QT_MAT_MED_N;QT_MAT_MED_EAD;QT_MAT_PROF_D;QT_MAT_PROF_DM;QT_MAT_PROF_DV;QT_MAT_PROF_N;QT_MAT_PROF_EAD;QT_MAT_PROF_TEC_D;QT_MAT_PROF_TEC_DM;QT_MAT_PROF_TEC_DV;QT_MAT_PROF_TEC_N;QT_MAT_PROF_TEC_EAD;QT_MAT_EJA_D;QT_MAT_EJA_DM;QT_MAT_EJA_DV;QT_MAT_EJA_N;QT_MAT_EJA_EAD;QT_MAT_EJA_FUND_D;QT_MAT_EJA_FUND_DM;QT_MAT_EJA_FUND_DV;QT_MAT_EJA_FUND_N;QT_MAT_EJA_FUND_EAD;QT_MAT_EJA_MED_D;QT_MAT_EJA_MED_DM;QT_MAT_EJA_MED_DV;QT_MAT_EJA_MED_N;QT_MAT_EJA_MED_EAD;QT_MAT_ESP_D;QT_MAT_ESP_DM;QT_MAT_ESP_DV;QT_MAT_ESP_N;QT_MAT_ESP_EAD;QT_MAT_ESP_CC_D;QT_MAT_ESP_CC_DM;QT_MAT_ESP_CC_DV;QT_MAT_ESP_CC_N;QT_MAT_ESP_CC_EAD;QT_MAT_ESP_CE_D;QT_MAT_ESP_CE_DM;QT_MAT_ESP_CE_DV;QT_MAT_ESP_CE_N;QT_MAT_ESP_CE_EAD;QT_MAT_BAS_INT;QT_MAT_INF_INT;QT_MAT_INF_CRE_INT;QT_MAT_INF_PRE_INT;QT_MAT_FUND_INT;QT_MAT_FUND_AI_INT;QT_MAT_FUND_AF_INT;QT_MAT_MED_INT;QT_MAT_PROF_INT;QT_MAT_PROF_TEC_INT;QT_MAT_EJA_INT;QT_MAT_EJA_FUND_INT;QT_MAT_EJA_MED_INT;QT_MAT_ESP_INT;QT_MAT_ESP_CC_INT;QT_MAT_ESP_CE_INT;QT_MAT_BAS_LIBRAS;QT_MAT_ZR_URB;QT_MAT_ZR_RUR;QT_MAT_ZR_NA;QT_TRANSP_PUBLICO;QT_TRANSP_RESP_EST;QT_TRANSP_RESP_MUN
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;CENTRO EDUCACIONAL OBJETIVO CUBATAO;35005363;2;4;1;1;0;0;;199;0;0;0;160;68;9;12;13;13;21;92;25;22;24;21;39;19;11;9;0;0;39;19;11;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;19;19;0;0;11;11;0;0;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;1;1;1;0;0;0;0;0;3;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;107;44;101;3;50;1;0;0;0;65;92;42;0;0;0;69;93;37;0;199;131;68;0;0;0;0;0;0;0;0;0;0;160;92;68;0;68;0;68;0;92;92;0;0;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;3;2;1;0;0;0;0;0;0;0;15;0;0;0;15;7;8;0;0;0;0;0;0;0;0;0;0;193;6;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;V N COSTA NUCLEO DE EDUCACAO INFANTIL;35005609;2;4;1;1;0;1;1;57;57;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;31;27;21;0;9;0;0;54;3;0;0;0;0;57;0;0;0;0;0;57;7;50;0;0;57;7;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;37;37;37;0;0;0;0;0;0;0;0;0;0;1;1;0;0;56;1;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;COLEGIO CRERSER EDUCACAO INFANTIL;35006532;2;4;3;1;0;0;;65;57;25;32;8;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;35;51;7;2;4;1;0;22;33;10;0;0;0;26;34;5;0;0;0;65;16;49;0;0;25;0;25;0;32;8;24;0;8;8;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;1;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;CRER SER CHRISTIAN BILINGUAL SCHOOL LTDA;35007846;2;4;1;1;0;0;;152;0;0;0;152;105;15;29;22;31;8;47;24;9;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;7;5;2;0;0;0;0;0;0;7;0;0;0;7;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;70;41;66;3;42;0;0;0;1;103;48;0;0;0;2;107;43;0;0;152;63;89;0;0;0;0;0;0;0;0;0;0;152;63;89;0;105;25;80;0;47;38;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;6;0;0;7;1;6;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;151;1;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;MARTA JOSETE RAMOS IMPALEA PROFA CEU UNIDADE III;35010151;1;3;;1;0;0;;212;0;0;0;212;212;53;75;30;30;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;14;14;0;0;0;0;0;0;0;14;0;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;99;51;67;14;79;1;0;0;0;202;10;0;0;0;0;208;4;0;0;212;0;212;0;0;0;0;0;0;0;0;0;0;212;0;212;0;212;0;212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;14;0;0;14;0;14;0;0;0;0;0;0;0;212;0;0;0;212;212;0;0;0;0;0;0;0;14;14;0;0;212;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;COMPLEXO EDUCACIONAL GERALDO CARDOSO GUEDES EDUCACAO INFANTIL;35010727;1;3;;1;0;0;;213;213;89;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;3;8;0;0;0;0;0;0;0;0;0;11;11;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;113;34;88;11;80;0;0;79;123;11;0;0;0;89;124;0;0;0;0;213;21;192;0;0;89;0;89;0;124;21;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;10;0;0;11;1;10;0;0;0;0;0;0;0;187;187;89;98;0;0;0;0;0;0;0;0;0;10;10;0;0;212;1;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;COMPLEXO EDUCACIONAL GERALDO CARDOSO GUEDES ENSINO FUNDAMENTAL;35010730;1;3;;1;0;0;;236;0;0;0;236;236;77;46;49;41;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;28;28;0;0;0;0;0;0;0;28;0;0;0;28;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;128;35;85;3;113;0;0;0;0;221;15;0;0;0;0;228;8;0;0;236;0;236;0;0;0;0;0;0;0;0;0;0;236;0;236;0;236;0;236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;28;0;0;28;0;28;0;0;0;0;0;0;0;236;0;0;0;236;236;0;0;0;0;0;0;0;28;28;0;0;236;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;HUMBERTO DE ALENCAR CASTELLO BRANCO MARECHAL;35011423;1;2;;1;0;0;;1166;0;0;0;402;0;0;0;0;0;0;402;104;100;90;108;678;255;250;173;0;0;497;255;130;112;0;0;181;181;0;0;0;120;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;242;242;242;0;0;242;242;0;0;186;186;0;0;0;0;0;0;181;181;0;0;0;0;0;0;86;0;0;0;0;0;86;86;0;0;50;0;0;0;20;0;20;29;7;7;1;0;1;50;0;0;0;20;0;20;29;7;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;617;549;198;498;25;439;5;1;0;0;0;355;668;143;0;0;1;379;679;107;918;516;402;248;0;0;0;0;0;0;0;0;0;402;0;402;0;0;0;0;0;402;0;402;0;516;516;0;162;0;181;181;0;0;0;181;181;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;0;86;0;46;26;20;4;0;46;26;20;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1155;11;0;70;67;3
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;AFONSO SCHIMIDT;35011435;1;2;;1;0;0;;240;0;0;0;92;0;0;0;0;0;0;92;0;18;47;27;148;60;42;46;0;0;67;60;4;3;0;0;81;81;0;0;0;38;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;0;0;7;7;0;0;4;4;0;0;0;0;0;0;81;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;7;0;7;15;4;4;0;0;0;19;0;0;0;7;0;7;12;4;4;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;116;124;34;109;9;87;1;0;0;0;0;82;146;12;0;0;0;88;146;6;240;240;0;0;0;0;0;0;0;0;0;0;0;92;92;0;0;0;0;0;0;92;92;0;0;148;148;0;0;0;81;81;0;0;0;81;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;22;0;0;0;19;19;0;0;0;3;3;0;0;0;240;0;0;0;92;0;92;148;81;81;0;0;0;22;19;3;0;237;3;0;122;110;12
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;JULIO CONCEICAO;35011629;1;2;;1;0;0;;214;0;0;0;214;0;0;0;0;0;0;214;69;58;47;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;3;0;0;0;0;0;0;3;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;113;5;73;15;116;4;1;0;0;0;203;11;0;0;0;1;208;5;0;214;214;0;0;0;0;0;0;0;0;0;0;0;214;214;0;0;0;0;0;0;214;214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;3;3;0;0;0;0;0;0;0;0;214;0;0;0;214;0;214;0;0;0;0;0;0;3;3;0;0;213;1;0;110;109;1
