NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_REGIAO_GEOG_INTERM;CO_REGIAO_GEOG_INTERM;NO_REGIAO_GEOG_IMED;CO_REGIAO_GEOG_IMED;NO_DISTRITO;CO_DISTRITO;NO_SUBDISTRITO;CO_SUBDISTRITO;NO_ENTIDADE;CO_ENTIDADE;CO_REDE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_PODER_PUBLICO_PARCERIA;TP_PODER_PUBLICO_PARCERIA;QT_TUR_BAS;QT_TUR_INF;QT_TUR_INF_CRE;QT_TUR_INF_PRE;QT_TUR_FUND;QT_TUR_FUND_AI;QT_TUR_FUND_AI_1;QT_TUR_FUND_AI_2;QT_TUR_FUND_AI_3;QT_TUR_FUND_AI_4;QT_TUR_FUND_AI_5;QT_TUR_FUND_AI_MULTIETAPA;QT_TUR_FUND_AF;QT_TUR_FUND_AF_6;QT_TUR_FUND_AF_7;QT_TUR_FUND_AF_8;QT_TUR_FUND_AF_9;QT_TUR_FUND_AF_MULTI;QT_TUR_FUND_AF_CORRFLUXO;QT_TUR_MED;QT_TUR_MED_1;QT_TUR_MED_2;QT_TUR_MED_3;QT_TUR_MED_4;QT_TUR_MED_NS;QT_TUR_MED_PROP;QT_TUR_MED_PROP_1;QT_TUR_MED_PROP_2;QT_TUR_MED_PROP_3;QT_TUR_MED_PROP_4;QT_TUR_MED_PROP_NS;QT_TUR_MED_IFTP_CT;QT_TUR_MED_IFTP_CT_1;QT_TUR_MED_IFTP_CT_2;QT_TUR_MED_IFTP_CT_3;QT_TUR_MED_IFTP_CT_4;QT_TUR_MED_IFTP_CT_NS;QT_TUR_MED_IFTP_QP;QT_TUR_MED_IFTP_QP_1;QT_TUR_MED_IFTP_QP_2;QT_TUR_MED_IFTP_QP_3;QT_TUR_MED_IFTP_QP_4;QT_TUR_MED_IFTP_QP_NS;QT_TUR_MED_NM;QT_TUR_MED_NM_1;QT_TUR_MED_NM_2;QT_TUR_MED_NM_3;QT_TUR_MED_NM_4;QT_TUR_MED_IFA_EXC;QT_TUR_MED_IFTP_EXC;QT_TUR_MED_IFTP_EXC_QP;QT_TUR_MED_IFA;QT_TUR_MED_IFA_LING;QT_TUR_MED_IFA_MATE;QT_TUR_MED_IFA_CIENC;QT_TUR_MED_IFA_HUMA;QT_TUR_PROF;QT_TUR_PROF_TEC;QT_TUR_PROF_TEC_CONC;QT_TUR_PROF_TEC_SUBS;QT_TUR_PROF_TEC_MISTO;QT_TUR_PROF_TEC_IFTP_CT;QT_TUR_PROF_NAO_TEC;QT_TUR_PROF_IFTP_QP;QT_TUR_PROF_FIC_CONC;QT_TUR_EJA;QT_TUR_EJA_FUND;QT_TUR_EJA_FUND_NPROF;QT_TUR_EJA_FUND_AI;QT_TUR_EJA_FUND_AF;QT_TUR_EJA_FUND_FIC;QT_TUR_EJA_MED;QT_TUR_EJA_MED_NPROF;QT_TUR_EJA_MED_FIC;QT_TUR_EJA_MED_TEC;QT_TUR_ESP;QT_TUR_ESP_CC;QT_TUR_ESP_CE;QT_TUR_BAS_D;QT_TUR_BAS_DM;QT_TUR_BAS_DV;QT_TUR_BAS_N;QT_TUR_BAS_EAD;QT_TUR_INF_CRE_D;QT_TUR_INF_CRE_DM;QT_TUR_INF_CRE_DV;QT_TUR_INF_CRE_N;QT_TUR_INF_PRE_D;QT_TUR_INF_PRE_DM;QT_TUR_INF_PRE_DV;QT_TUR_INF_PRE_N;QT_TUR_FUND_D;QT_TUR_FUND_DM;QT_TUR_FUND_DV;QT_TUR_FUND_N;QT_TUR_FUND_AI_D;QT_TUR_FUND_AI_DM;QT_TUR_FUND_AI_DV;QT_TUR_FUND_AI_N;QT_TUR_FUND_AF_D;QT_TUR_FUND_AF_DM;QT_TUR_FUND_AF_DV;QT_TUR_FUND_AF_N;QT_TUR_MED_D;QT_TUR_MED_DM;QT_TUR_MED_DV;QT_TUR_MED_N;QT_TUR_MED_EAD;QT_TUR_PROF_D;QT_TUR_PROF_DM;QT_TUR_PROF_DV;QT_TUR_PROF_N;QT_TUR_PROF_EAD;QT_TUR_PROF_TEC_D;QT_TUR_PROF_TEC_DM;QT_TUR_PROF_TEC_DV;QT_TUR_PROF_TEC_N;QT_TUR_PROF_TEC_EAD;QT_TUR_EJA_D;QT_TUR_EJA_DM;QT_TUR_EJA_DV;QT_TUR_EJA_N;QT_TUR_EJA_EAD;QT_TUR_EJA_FUND_D;QT_TUR_EJA_FUND_DM;QT_TUR_EJA_FUND_DV;QT_TUR_EJA_FUND_N;QT_TUR_EJA_FUND_EAD;QT_TUR_EJA_MED_D;QT_TUR_EJA_MED_DM;QT_TUR_EJA_MED_DV;QT_TUR_EJA_MED_N;QT_TUR_EJA_MED_EAD;QT_TUR_ESP_D;QT_TUR_ESP_DM;QT_TUR_ESP_DV;QT_TUR_ESP_N;QT_TUR_ESP_EAD;QT_TUR_ESP_CC_D;QT_TUR_ESP_CC_DM;QT_TUR_ESP_CC_DV;QT_TUR_ESP_CC_N;QT_TUR_ESP_CC_EAD;QT_TUR_ESP_CE_D;QT_TUR_ESP_CE_DM;QT_TUR_ESP_CE_DV;QT_TUR_ESP_CE_N;QT_TUR_ESP_CE_EAD;QT_TUR_BAS_INT;QT_TUR_INF_INT;QT_TUR_INF_CRE_INT;QT_TUR_INF_PRE_INT;QT_TUR_FUND_INT;QT_TUR_FUND_AI_INT;QT_TUR_FUND_AF_INT;QT_TUR_MED_INT;QT_TUR_PROF_INT;QT_TUR_PROF_TEC_INT;QT_TUR_EJA_INT;QT_TUR_EJA_FUND_INT;QT_TUR_EJA_MED_INT;QT_TUR_ESP_INT;QT_TUR_ESP_CC_INT;QT_TUR_ESP_CE_INT;QT_TUR_BAS_DISC_LINGUA_PORT;QT_TUR_BAS_DISC_EDUC_FISICA;QT_TUR_BAS_DISC_ARTES;QT_TUR_BAS_DISC_LINGUA_ING;QT_TUR_BAS_DISC_LINGUA_ESPA;QT_TUR_BAS_DISC_LINGUA_FRANC;QT_TUR_BAS_DISC_LINGUA_OUTRA;QT_TUR_BAS_DISC_LIBRAS;QT_TUR_BAS_DISC_LINGUA_INDIG;QT_TUR_BAS_DISC_PORT_SEG_LINGUA;QT_TUR_BAS_DISC_MATEMATICA;QT_TUR_BAS_DISC_CIENCIAS;QT_TUR_BAS_DISC_FISICA;QT_TUR_BAS_DISC_QUIMICA;QT_TUR_BAS_DISC_BIOLOGIA;QT_TUR_BAS_DISC_HISTORIA;QT_TUR_BAS_DISC_GEOGRAFIA;QT_TUR_BAS_DISC_SOCIOLOGIA;QT_TUR_BAS_DISC_FILOSOFIA;QT_TUR_BAS_DISC_EST_SOCIAIS;QT_TUR_BAS_DISC_EST_SOCIAIS_SOCI;QT_TUR_BAS_DISC_INFO_COMPUTACAO;QT_TUR_BAS_DISC_ENSINO_RELIGIOSO;QT_TUR_BAS_DISC_PROFISSIONA;QT_TUR_BAS_DISC_ESTAGIO_SUPER;QT_TUR_BAS_DISC_PEDAGOGICAS;QT_TUR_BAS_DISC_PROJETO_DE_VIDA;QT_TUR_BAS_DISC_OUTRAS;QT_TUR_BAS_LIBRAS
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;CENTRO EDUCACIONAL OBJETIVO CUBATAO;35005363;2;4;1;1;0;0;;12;0;0;0;9;5;1;1;1;1;1;0;4;1;1;1;1;0;0;3;1;1;1;0;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;12;7;5;0;0;0;0;0;0;0;0;0;0;9;4;5;0;5;0;5;0;4;4;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;11;7;0;0;0;0;0;0;12;9;3;3;3;12;12;3;3;0;3;0;0;0;0;0;0;12;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;V N COSTA NUCLEO DE EDUCACAO INFANTIL;35005609;2;4;1;1;0;1;1;9;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;9;3;6;0;0;9;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;3;3;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;COLEGIO CRERSER EDUCACAO INFANTIL;35006532;2;4;3;1;0;0;;6;5;2;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;6;2;4;0;0;2;0;2;0;3;1;2;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;CRER SER CHRISTIAN BILINGUAL SCHOOL LTDA;35007846;2;4;1;1;0;0;;13;0;0;0;13;8;1;2;2;2;1;0;5;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;13;6;7;0;0;0;0;0;0;0;0;0;0;13;6;7;0;8;2;6;0;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;4;0;0;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;13;13;0;0;0;0;0;0;13;13;0;0;0;13;13;0;0;0;0;0;13;0;0;0;0;13;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;MARTA JOSETE RAMOS IMPALEA PROFA CEU UNIDADE III;35010151;1;3;;1;0;0;;8;0;0;0;8;8;2;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;8;0;8;0;0;0;0;0;0;0;0;0;0;8;0;8;0;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;6;0;6;0;0;0;0;0;0;0;8;0;0;0;8;8;0;0;0;0;0;0;0;6;6;0;8;8;8;8;0;0;0;0;0;0;8;8;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;8;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;COMPLEXO EDUCACIONAL GERALDO CARDOSO GUEDES EDUCACAO INFANTIL;35010727;1;3;;1;0;0;;10;10;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;0;10;1;9;0;0;4;0;4;0;6;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;6;0;0;7;1;6;0;0;0;0;0;0;0;8;8;4;4;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;COMPLEXO EDUCACIONAL GERALDO CARDOSO GUEDES ENSINO FUNDAMENTAL;35010730;1;3;;1;0;0;;12;0;0;0;12;12;5;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;0;12;0;12;0;0;0;0;0;0;0;0;0;0;12;0;12;0;12;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;12;0;0;12;0;12;0;0;0;0;0;0;0;12;0;0;0;12;12;0;0;0;0;0;0;0;12;12;0;12;12;12;12;0;0;0;0;0;0;12;12;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;12;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;HUMBERTO DE ALENCAR CASTELLO BRANCO MARECHAL;35011423;1;2;;1;0;0;;40;0;0;0;12;0;0;0;0;0;0;0;12;3;3;3;3;0;0;25;8;10;7;0;0;17;8;5;4;0;0;8;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;9;7;0;8;8;0;0;0;0;0;0;0;3;0;0;0;0;0;3;3;0;0;28;28;0;32;20;12;8;0;0;0;0;0;0;0;0;0;12;0;12;0;0;0;0;0;12;0;12;0;20;20;0;5;0;8;8;0;0;0;8;8;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;24;14;10;4;0;24;14;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;27;23;33;0;0;0;0;0;0;40;12;24;23;23;39;35;13;11;0;13;9;0;0;0;0;0;40;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;AFONSO SCHIMIDT;35011435;1;2;;1;0;0;;12;0;0;0;4;0;0;0;0;0;0;0;4;0;1;2;1;0;0;8;3;2;3;0;0;5;3;1;1;0;0;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;9;1;12;12;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;4;4;0;0;8;8;0;0;0;3;3;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;9;9;0;0;0;1;1;0;0;0;12;0;0;0;4;0;4;8;3;3;0;0;0;10;9;1;9;0;7;8;0;0;0;0;0;0;12;4;8;5;5;12;9;2;3;0;2;4;0;0;0;0;0;12;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;JULIO CONCEICAO;35011629;1;2;;1;0;0;;8;0;0;0;8;0;0;0;0;0;0;0;8;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;8;8;0;0;0;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;8;0;0;0;8;0;8;0;0;0;0;0;0;2;2;0;8;0;8;8;0;0;0;0;0;0;8;8;0;0;0;8;8;0;0;0;0;8;0;0;0;0;0;8;0
