turma,aluno_numero,data,status,origem,serie
6°A,1,2026-05-01,P,fictício,6º ano
6°A,1,2026-05-02,P,fictício,6º ano
6°A,1,2026-05-05,F,fictício,6º ano
6°A,1,2026-05-06,F,fictício,6º ano
6°A,1,2026-05-07,P,fictício,6º ano
6°A,1,2026-05-08,P,fictício,6º ano
6°A,1,2026-05-09,P,fictício,6º ano
6°A,1,2026-05-12,P,fictício,6º ano
6°A,1,2026-05-13,P,fictício,6º ano
6°A,1,2026-05-14,P,fictício,6º ano
6°A,1,2026-05-15,P,fictício,6º ano
6°A,1,2026-05-16,P,fictício,6º ano
6°A,1,2026-05-19,P,fictício,6º ano
6°A,1,2026-05-20,P,fictício,6º ano
6°A,1,2026-05-21,P,fictício,6º ano
6°A,1,2026-05-22,P,fictício,6º ano
6°A,1,2026-05-23,P,fictício,6º ano
6°A,1,2026-05-26,P,fictício,6º ano
6°A,1,2026-05-27,P,fictício,6º ano
6°A,1,2026-05-28,F,fictício,6º ano
6°A,1,2026-06-01,P,fictício,6º ano
6°A,1,2026-06-02,P,fictício,6º ano
6°A,1,2026-06-05,P,fictício,6º ano
6°A,1,2026-06-06,P,fictício,6º ano
6°A,1,2026-06-07,P,fictício,6º ano
6°A,1,2026-06-08,F,fictício,6º ano
6°A,1,2026-06-09,P,fictício,6º ano
6°A,1,2026-06-12,P,fictício,6º ano
6°A,1,2026-06-13,F,fictício,6º ano
6°A,1,2026-06-14,P,fictício,6º ano
6°A,1,2026-06-15,P,fictício,6º ano
6°A,1,2026-06-16,F,fictício,6º ano
6°A,1,2026-06-19,P,fictício,6º ano
6°A,1,2026-06-20,P,fictício,6º ano
6°A,1,2026-06-21,P,fictício,6º ano
6°A,1,2026-06-22,P,fictício,6º ano
6°A,1,2026-06-23,P,fictício,6º ano
6°A,1,2026-06-26,F,fictício,6º ano
6°A,1,2026-06-27,P,fictício,6º ano
6°A,1,2026-06-28,P,fictício,6º ano
6°A,1,2026-07-01,P,fictício,6º ano
6°A,1,2026-07-02,F,fictício,6º ano
6°A,1,2026-07-05,P,fictício,6º ano
6°A,1,2026-07-06,P,fictício,6º ano
6°A,1,2026-07-07,F,fictício,6º ano
6°A,1,2026-07-08,P,fictício,6º ano
