turma,aluno_numero,mes,aulas_previstas,presencas,faltas,frequencia_pct,tem_dados_no_mes,risco_abaixo_75pct,origem,serie
6°A,1,MAIO,20,17,3,85.0,True,False,fictício,6º ano
6°A,1,JUNHO,20,16,4,80.0,True,False,fictício,6º ano
6°A,1,JULHO,20,11,9,55.0,True,True,fictício,6º ano
6°A,1,AGOSTO,20,11,9,55.0,True,True,fictício,6º ano
6°A,2,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°A,2,JUNHO,20,17,3,85.0,True,False,fictício,6º ano
6°A,2,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°A,2,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°A,3,MAIO,20,12,8,60.0,True,True,fictício,6º ano
6°A,3,JUNHO,20,11,9,55.0,True,True,fictício,6º ano
6°A,3,JULHO,20,11,9,55.0,True,True,fictício,6º ano
6°A,3,AGOSTO,20,13,7,65.0,True,True,fictício,6º ano
6°A,4,MAIO,20,17,3,85.0,True,False,fictício,6º ano
6°A,4,JUNHO,20,17,3,85.0,True,False,fictício,6º ano
6°A,4,JULHO,20,17,3,85.0,True,False,fictício,6º ano
6°A,4,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°A,5,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°A,5,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°A,5,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°A,5,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°A,6,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°A,6,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°A,6,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°A,6,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°A,7,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°A,7,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°A,7,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°A,7,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°A,8,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°A,8,JUNHO,20,16,4,80.0,True,False,fictício,6º ano
6°A,8,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°A,8,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°A,9,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°A,9,JUNHO,20,17,3,85.0,True,False,fictício,6º ano
6°A,9,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°A,9,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°A,10,MAIO,20,17,3,85.0,True,False,fictício,6º ano
6°A,10,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°A,10,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°A,10,AGOSTO,20,17,3,85.0,True,False,fictício,6º ano
6°A,11,MAIO,20,16,4,80.0,True,False,fictício,6º ano
6°A,11,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°A,11,JULHO,20,17,3,85.0,True,False,fictício,6º ano
6°A,11,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°A,12,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°A,12,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°A,12,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°A,12,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°A,13,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°A,13,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°A,13,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°A,13,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°A,14,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°A,14,JUNHO,20,16,4,80.0,True,False,fictício,6º ano
6°A,14,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°A,14,AGOSTO,20,17,3,85.0,True,False,fictício,6º ano
6°A,15,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°A,15,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°A,15,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°A,15,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°A,16,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°A,16,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°A,16,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°A,16,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°A,17,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°A,17,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°A,17,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°A,17,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°A,18,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°A,18,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°A,18,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°A,18,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°A,19,MAIO,20,16,4,80.0,True,False,fictício,6º ano
6°A,19,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°A,19,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°A,19,AGOSTO,20,17,3,85.0,True,False,fictício,6º ano
6°A,20,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°A,20,JUNHO,20,17,3,85.0,True,False,fictício,6º ano
