id_municipio,municipio,taxa_abandono_ef,taxa_abandono_em
3500303,Aguaí,0.0,1.8
3500501,Águas de Lindóia,0.2,0.0
3500808,Alfredo Marcondes,0.2,3.7
3501152,Alumínio,0.5,0.0
3501707,Américo Brasiliense,0.0,0.0
3501905,Amparo,0.1,2.6
3502754,Araçariguama,0.1,4.8
3503109,Arandu,0.5,5.0
3503158,Arapeí,0.0,0.0
3504107,Atibaia,0.3,4.3
3504602,Bady Bassitt,0.0,4.0
3505708,Barueri,0.0,1.3
3505807,Bastos,0.0,1.3
3506359,Bertioga,1.2,5.6
3506508,Birigui,0.1,2.1
3506805,Bocaina,0.9,8.6
3507704,Braúna,0.4,6.0
3507803,Brodowski,1.1,9.1
3507902,Brotas,0.3,3.8
3508009,Buri,0.1,0.0
3508405,Cabreúva,0.5,3.8
3508702,Caconde,0.4,2.6
3509957,Canas,0.1,1.8
3510807,Casa Branca,1.0,3.8
3511003,Castilho,0.0,0.0
3511300,Cedral,0.0,2.1
3511508,Cerquilho,0.0,4.1
3512704,Corumbataí,0.0,0.0
3512803,Cosmópolis,0.6,3.2
3513405,Cruzeiro,0.5,2.0
3513504,Cubatão,0.4,2.8
3514403,Dracena,0.4,2.4
3515103,Embu-Guaçu,0.1,0.9
3515152,Engenheiro Coelho,0.0,3.7
3515608,Fernando Prestes,0.0,0.5
3516200,Franca,0.4,4.4
3516309,Francisco Morato,0.3,2.1
3517604,Guapiara,0.0,0.1
3518305,Guararema,0.1,2.7
3519402,Ibirá,0.0,5.1
3519600,Ibitinga,0.3,1.7
3520202,Igaratá,0.6,5.5
3520442,Ilha Solteira,0.1,0.1
3521002,Iperó,0.2,9.3
3521309,Ipuã,0.2,2.2
3521705,Itaberá,0.3,2.8
3522505,Itapevi,0.4,2.9
3522604,Itapira,1.0,5.1
3523404,Itatiba,0.2,1.5
3523503,Itatinga,1.1,6.9
3523602,Itirapina,0.0,0.1
3523909,Itu,0.2,2.6
3524105,Ituverava,0.2,3.6
3524808,Jales,0.2,0.9
3525003,Jandira,0.2,3.6
3525201,Jarinu,0.2,4.3
3525904,Jundiaí,0.2,2.3
3526209,Juquitiba,0.1,0.5
3526407,Laranjal Paulista,0.0,0.1
3526605,Lavrinhas,0.7,2.7
3527009,Lindóia,0.0,0.0
3527108,Lins,0.5,6.6
3527207,Lorena,0.7,2.1
3527306,Louveira,0.2,1.7
3528403,Mairinque,0.7,0.6
3528502,Mairiporã,0.4,3.2
3529302,Matão,0.0,0.1
3529401,Mauá,0.5,3.4
3529906,Miracatu,0.2,1.2
3530409,Mirassolândia,0.0,0.0
3530508,Mococa,0.0,1.5
3530805,Mogi Mirim,0.3,2.8
3531209,Monte Alegre do Sul,0.2,4.7
3533403,Nova Odessa,0.2,0.8
3533502,Novo Horizonte,0.2,0.1
3534500,Oscar Bressane,0.0,1.1
3534609,Osvaldo Cruz,0.2,1.8
3534708,Ourinhos,0.2,1.2
3535200,Palmeira d'Oeste,0.9,3.9
