turma,turno,aluno_numero,aulas_previstas,presencas,faltas,freq_maio,freq_junho,freq_julho,freq_agosto,frequencia_media,tendencia_pp,faltas_consecutivas_max,resultado_sintetico,origem_dado
7°A,Manhã,2,69,60,9,95.0,95.0,57.1,81.8,82.2,-13.2,2,Evasão,chamada real + rótulo sintético
7°A,Manhã,3,69,62,7,95.0,75.0,100.0,95.5,91.4,0.5,2,Diplomado,chamada real + rótulo sintético
7°A,Manhã,4,69,63,6,85.0,90.0,100.0,95.5,92.6,10.5,2,Diplomado,chamada real + rótulo sintético
7°A,Manhã,5,69,57,12,80.0,80.0,85.7,86.4,83.0,6.4,2,Diplomado,chamada real + rótulo sintético
7°A,Manhã,6,69,47,22,85.0,75.0,57.1,50.0,66.8,-35.0,6,Diplomado,chamada real + rótulo sintético
7°A,Manhã,7,24,0,0,,,,,,0.0,0,Diplomado,chamada real + rótulo sintético
7°A,Manhã,8,69,66,3,95.0,100.0,85.7,95.5,94.0,0.5,1,Diplomado,chamada real + rótulo sintético
7°A,Manhã,9,66,1,30,0.0,9.1,,,4.6,9.1,29,Evasão,chamada real + rótulo sintético
7°A,Manhã,10,69,60,9,90.0,80.0,100.0,86.4,89.1,-3.6,3,Diplomado,chamada real + rótulo sintético
7°A,Manhã,11,24,0,0,,,,,,0.0,0,Diplomado,chamada real + rótulo sintético
7°A,Manhã,12,69,60,9,85.0,70.0,100.0,100.0,88.8,15.0,2,Diplomado,chamada real + rótulo sintético
7°A,Manhã,13,69,49,20,80.0,60.0,71.4,72.7,71.0,-7.3,3,Diplomado,chamada real + rótulo sintético
7°A,Manhã,14,69,55,14,85.0,80.0,85.7,72.7,80.8,-12.3,1,Matriculado,chamada real + rótulo sintético
7°A,Manhã,15,69,55,14,90.0,80.0,71.4,72.7,78.5,-17.3,2,Evasão,chamada real + rótulo sintético
7°A,Manhã,16,69,62,7,95.0,90.0,85.7,86.4,89.3,-8.6,1,Diplomado,chamada real + rótulo sintético
7°A,Manhã,17,24,0,0,,,,,,0.0,0,Diplomado,chamada real + rótulo sintético
7°A,Manhã,18,69,60,9,95.0,85.0,100.0,77.3,89.3,-17.7,2,Matriculado,chamada real + rótulo sintético
7°A,Manhã,19,69,53,16,80.0,80.0,85.7,68.2,78.5,-11.8,2,Matriculado,chamada real + rótulo sintético
7°A,Manhã,20,69,54,15,75.0,80.0,57.1,86.4,74.6,11.4,2,Diplomado,chamada real + rótulo sintético
7°A,Manhã,21,69,61,8,95.0,80.0,100.0,86.4,90.4,-8.6,2,Evasão,chamada real + rótulo sintético
7°A,Manhã,22,69,34,35,75.0,35.0,71.4,31.8,53.3,-43.2,6,Matriculado,chamada real + rótulo sintético
7°A,Manhã,23,25,2,0,,,,100.0,100.0,0.0,0,Diplomado,chamada real + rótulo sintético
7°A,Manhã,24,69,61,8,95.0,95.0,85.7,77.3,88.2,-17.7,1,Matriculado,chamada real + rótulo sintético
7°A,Manhã,25,69,52,17,90.0,80.0,42.9,68.2,70.3,-21.8,3,Matriculado,chamada real + rótulo sintético
7°A,Manhã,26,69,52,17,80.0,70.0,85.7,72.7,77.1,-7.3,2,Diplomado,chamada real + rótulo sintético
7°A,Manhã,27,69,60,9,85.0,95.0,85.7,81.8,86.9,-3.2,2,Matriculado,chamada real + rótulo sintético
7°A,Manhã,28,69,58,9,94.4,80.0,42.9,100.0,79.3,5.6,2,Diplomado,chamada real + rótulo sintético
7°A,Manhã,29,67,2,3,,,,40.0,40.0,0.0,3,Diplomado,chamada real + rótulo sintético
7°A,Manhã,30,69,1,4,,,,20.0,20.0,0.0,3,Diplomado,chamada real + rótulo sintético
7°A,Tarde,1,80,75,5,95.0,95.0,90.0,95.0,93.8,0.0,1,Diplomado,chamada fictícia + rótulo sintético
7°A,Tarde,2,80,68,12,75.0,95.0,85.0,85.0,85.0,10.0,3,Diplomado,chamada fictícia + rótulo sintético
7°A,Tarde,3,80,68,12,75.0,90.0,80.0,95.0,85.0,20.0,2,Diplomado,chamada fictícia + rótulo sintético
7°A,Tarde,4,80,75,5,95.0,100.0,85.0,95.0,93.8,0.0,2,Diplomado,chamada fictícia + rótulo sintético
7°A,Tarde,5,80,49,31,65.0,80.0,45.0,55.0,61.2,-10.0,5,Evasão,chamada fictícia + rótulo sintético
7°A,Tarde,6,80,50,30,70.0,65.0,45.0,70.0,62.5,0.0,7,Evasão,chamada fictícia + rótulo sintético
7°A,Tarde,7,80,76,4,100.0,90.0,100.0,90.0,95.0,-10.0,2,Diplomado,chamada fictícia + rótulo sintético
7°A,Tarde,8,80,76,4,100.0,95.0,95.0,90.0,95.0,-10.0,1,Diplomado,chamada fictícia + rótulo sintético
7°A,Tarde,9,80,41,39,55.0,65.0,25.0,60.0,51.2,5.0,8,Evasão,chamada fictícia + rótulo sintético
7°A,Tarde,10,80,78,2,100.0,95.0,100.0,95.0,97.5,-5.0,1,Diplomado,chamada fictícia + rótulo sintético
7°A,Tarde,11,80,44,36,80.0,65.0,40.0,35.0,55.0,-45.0,4,Evasão,chamada fictícia + rótulo sintético
7°A,Tarde,12,80,45,35,55.0,70.0,60.0,40.0,56.2,-15.0,5,Evasão,chamada fictícia + rótulo sintético
